R0,sigma,weight
0.0,0.0,0.01766664890898085
0.0,0.5,0.016877708899483278
0.0,1.0,0.01775362364698206
0.0,1.5,0.016833050462106834
0.0,2.0,0.017338871115683115
0.5,0.0,0.018090551695973973
0.5,0.5,0.01779768707346419
0.5,1.0,0.017974078381152298
0.5,1.5,0.017693523969230334
0.5,2.0,0.01772671214622144
1.0,0.0,0.018049013334020085
1.0,0.5,0.017713922464704254
1.0,1.0,0.017765470186397608
1.0,1.5,0.017588216909931897
1.0,2.0,0.01767314752301677
1.5,0.0,0.018010497340997498
1.5,0.5,0.0186638988847038
1.5,1.0,0.018790006754525423
1.5,1.5,0.018722036173750338
1.5,2.0,0.018674363860380013
2.0,0.0,0.017541513854831714
2.0,0.5,0.018810250774669548
2.0,1.0,0.018950660304777815
2.0,1.5,0.018936588596665586
2.0,2.0,0.018946253804007794
2.5,0.0,0.01741570611555059
2.5,0.5,0.018658693368906444
2.5,1.0,0.018892919163533046
2.5,1.5,0.0188893864880568
2.5,2.0,0.018902920912139284
3.0,0.0,0.01708542923419474
3.0,0.5,0.018564875547278713
3.0,1.0,0.018811459959430538
3.0,1.5,0.018797739277564007
3.0,2.0,0.018789931975405877
3.5,0.0,0.016939677109565877
3.5,0.5,0.01836885077498895
3.5,1.0,0.018733745412709647
3.5,1.5,0.0187335261075418
3.5,2.0,0.018755421993066356
4.0,0.0,0.016871438246670433
4.0,0.5,0.01834560757876839
4.0,1.0,0.018606870995222118
4.0,1.5,0.01867956785477062
4.0,2.0,0.018711127878366006
4.5,0.0,0.016981485332995015
4.5,0.5,0.01829103408035156
4.5,1.0,0.01858821484333963
4.5,1.5,0.018682934564884113
4.5,2.0,0.018616462196888398
5.0,0.0,0.016705260193781143
5.0,0.5,0.018249866804327268
5.0,1.0,0.018604668427341986
5.0,1.5,0.018543988775622054
5.0,2.0,0.018592891720079958
